Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
12/3/2020,Malaysia,,,69095,376,57917,0,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1075
12/4/2020,Malaysia,,,70236,376,59061,1,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1141
12/5/2020,Malaysia,,,71359,380,60204,2,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1123
12/6/2020,Malaysia,,,72694,382,61273,3,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1335
12/7/2020,Malaysia,,,74294,384,62306,4,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1600
12/8/2020,Malaysia,,,75306,388,64056,5,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1012
12/9/2020,Malaysia,,,76265,393,65124,6,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,959
12/10/2020,Malaysia,,,78499,396,66236,7,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2234
12/11/2020,Malaysia,,,80309,402,67173,8,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1810
12/12/2020,Malaysia,,,82246,411,68084,9,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1937
12/13/2020,Malaysia,,,83475,415,69393,10,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1229
12/14/2020,Malaysia,,,84846,419,70597,11,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1371
12/15/2020,Malaysia,,,86618,422,71681,12,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1772
12/16/2020,Malaysia,,,87913,429,72733,13,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1295
12/17/2020,Malaysia,,,89133,432,74030,14,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1220
12/18/2020,Malaysia,,,90816,432,75244,15,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1683
12/19/2020,Malaysia,,,91969,433,76242,16,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1153
12/20/2020,Malaysia,,,93309,437,77309,17,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1340
12/21/2020,Malaysia,,,95327,438,78393,18,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2018
12/22/2020,Malaysia,,,97389,439,79304,19,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2062
12/23/2020,Malaysia,,,98737,444,80014,20,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1348
12/24/2020,Malaysia,,,100318,446,81099,21,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1581
12/25/2020,Malaysia,,,101565,449,82540,22,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1247
12/26/2020,Malaysia,,,103900,451,83414,23,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,2335
12/27/2020,Malaysia,,,105096,452,84411,24,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1196
12/28/2020,Malaysia,,,106690,455,85592,25,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1594
12/29/2020,Malaysia,,,108615,457,86715,26,0,0,0,0,0,0,0,0,0,0,Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,1925
